governance_priority,n,mean_equilibrium,mean_stability_index,mean_overload,mean_instability,mean_intervention_need_rate
high_priority,8,0.39889135866211567,0.2745593212528527,0.43098481612770667,0.3587245957703153,0.6015625
monitoring,1,0.5337380536976744,0.2828704593082445,0.40479500684592035,0.3666671989321222,0.375
stable_monitoring,2,0.8717199618627909,0.7707636859725157,0.3618280384831136,0.3310657499054938,0.03125
urgent_support,1389,0.09930390550536494,-0.0562798360456344,0.5229050501499682,0.406920357227837,0.9261159107271418
