equilibrium_state,n,intervention_need_rate,mean_equilibrium,mean_performance,mean_engagement,mean_overload,mean_instability,mean_resilience
critical,18883,1.0,0.036656398956910904,0.592097476780847,0.5289848202119726,0.5405587187889921,0.413852847232656,0.6124473100932757
fragile,2452,0.718189233278956,0.3851291594076724,0.6725327075681138,0.5889322982825193,0.43981921636721477,0.37389373270051107,0.6213959228497554
recovering,966,0.021739130434782608,0.5950886665294427,0.6683524169399839,0.5741573029834629,0.3897045398867925,0.3531885117688013,0.5982384869342133
stable,99,0.010101010101010102,0.8388667198015187,0.7975615381508385,0.692055216611514,0.3232476503297516,0.33358280025637893,0.6546953219257432
